Ranks,TiempoTotal,TiempoComputo,TiempoComunicacion,Iteraciones,GFlops,Comunicacion_%
1,5860.129588,5860.129588,0.000000,20001,0.955728,0.000000
2,3128.979161,3117.305487,16.547404,20001,1.789942,0.528844
4,1580.209764,1550.234755,105.366596,20001,3.544270,6.667887
8,917.798646,875.891379,142.736067,20001,6.102308,15.552002
16,594.608778,538.104886,161.407421,20001,9.419118,27.145146
32,482.246088,424.592747,200.296653,20001,11.613759,41.534117
64,456.974895,399.651619,232.520635,20001,12.256012,50.882584
