Threads,TiempoTotal,Iteraciones,GFlops
1,0.116987,14320,14.514873
2,0.090393,14320,18.785194
4,0.075236,14320,22.569640
8,0.078515,14320,21.627079
16,0.146319,14320,11.605139
32,1.043956,14320,1.626554
